Name,Amount
Ai Cao 艾草,250
Ba Ji Tian 巴戟天,575
Bai He 百合,590
Bai ji 白芨,500
Bai ji li 白蒺藜,5
Bai jie zi 白芥子,550
Bai Wei 白薇,90
Bai Zhi 白芷,1260
Bei Sha Shen 北沙参,525
Bei Wu Wei Zi 北五味子,930
Bei Xing 北杏,235
Bi Xie 萆薢,30
Bie jiang 鳖甲,140
Bo he nao,80
Bo He Ye 薄荷叶,130
Bu Gu Zhi 补骨脂,115
Cang Zhu 苍术,2450
Cha Shu Gen 茶树根,460
Chai Hu 柴胡,320
Chan Tui 蝉蜕,300
Chao bai bian dou 炒白扁豆,195
Chao Bai Shao 炒白芍,75
Chao Bai Zhu 炒白术,375
Chao Bin Lang 炒槟榔,470
Chao qian shi 炒芡实,490
Chao Shan Yao 炒山药,0
Chao Shan Zha 炒山楂,730
Chao Shen Qu 炒神曲,315
Chao xian he cao,25
Chao ze die 炒泽泻,20
Chao Zhi Zi 炒栀子,500
Che Qian Zi 车前子,915
Chen Pi 陈皮,100
Chen Xiang 沉香,380
Chi Shao 赤芍,1730
Chi Shi Zhi 赤石脂,700
Chong Wei Zi 茺蔚子,290
Chu Shi Zi 楮实子,250
Chuan bei mu 川贝母,285
Chuan lian zi 川楝子,140
Chuan Xiong 川芎,395
Chun Gen Pi 椿根皮,290
Ci Shi 磁石,450
Da fu pi 大腹皮,85
Da Huang 大黄,450
Dai she shi 代赭石,320
Dan Pi 丹皮,580
Dan Shen 丹参,1840
Dang Gui 当归,1920
Dang Shen 党参,2620
Di Gu Pi 地骨皮,235
Di Long 地龙,490
Du Huo 独活,120
Du Zhong 杜仲,1190
Duan mu li 煅牡蛎,300
E Jiao 阿胶,1500
Fang Feng 防风,880
Fu Ling 茯苓,2050
Fu Pen Zi 覆盆子,850
Fu Shen 茯神,530
Gan Jaing 干姜,420
Ge Gen 葛根,1000
Gou qi 枸杞,160
Gou Teng 钩藤,535
Gu jing cao 谷精草,90
Gui Zhi 桂枝,825
Hai Ge Fen 海蛤粉,85
Han Lian Cao 旱莲草,300
Hai piao qiao 海螵鞘,580
Han Shui Shi 寒水石,650
Hao Ben 藁本,485
He Huang Pi 合欢皮,595
He Ye 荷叶,275
Hong Hua 红花,1370
Hong Jing Tian 红景天,1245
Hou Po 厚朴,740
Hu Ma Ren 胡麻仁,65
Hu Po Fen 琥珀粉,0
Hu Zhang 虎杖,205
Hua Shi 滑石,430
Huai Mi 槐米,3360
Huai Niu Xi 怀牛膝,1730
Huang Bo 黄柏,425
Huang Lian 黄连,270
Huang Qi 黄芪,1180
Huang Qin 黄芩,355
Huo ma ren 火麻仁,1000
Huo Xiang 藿香,150
Ji Nei Jin 鸡内金,310
Ji Xue Teng 鸡血藤,1690
Jiang Ban Xia 姜半夏,910
Jiang can 僵蚕,200
Jiang Xiang 降香,190
Chao Mai Ya 炒麦芽,630
Jiang huang 姜黄,100
Jie Geng 桔梗,1110
Jin Qian Cao 金钱草,450
Jin Yin Hua 金银花,630
Jing Jie 荆芥,755
Jiu Da Huang 酒大黄,30
Ju Hua 菊花,680
Ju Pi 橘皮,380
Ju Qi Zi 枸杞子,0
Jue Ming Zi 决明子,750
Lai Fu Zi 莱菔子,355
Lian Qiao 连翘,480
Lian zi rou 莲子肉,70
Lin hang jiao fen 羚羊角粉,24
Ling xiao hua 凌霄花,10
Long Dan 龙胆,105
Long Chi 龙齿,160
Lu gen 芦根,500
Mai Dong 麦冬,4240
Man Jing Zi 蔓荆子,400
Mao Ci Wu Jia 毛刺五加,760
Mi meng hua 密蒙花,85
Mo Yao 没药,235
Mu dang ji 木防己,70
Mu Gua 木瓜,600
Mu Tong 木通,630
Mu Xiang 木香,320
Mu zei 木贼,100
Nan sha shen 南沙参,90
Nan sing 南杏,50
Niu Bang Zi 牛蒡子,200
Nv Shen Zi 女贞子,190
Pao Fu Pian 炮附片,4280
Pei Lan 佩兰,145
Pu Gong Ying 蒲公英,775
Pu huang 蒲黄,230
Qian Cao 茜草,620
Qian hu 前胡,95
Qiang Huo 羌活,200
Qin Pi 秦皮,380
Qing Hao 青蒿,90
Qing Pi 青皮,300
Qing xiang zi 青葙子,105
Quan Gua Lou 全瓜蒌,660
Rou Cong Rong 肉苁蓉,420
Rou dou kou 肉豆蔻,100
Rou Gui 肉桂,230
Ru Xiang 乳香,95
San Qi Fen 三七粉,0
Sang Bai Pi 桑白皮,200
Sang Ji Sheng 桑寄生,1000
Sang Shen 桑椹,310
Sang Ye 桑叶,690
Sha Jiang 沙姜,600
Sha Ren 砂仁,0
Shan Yao 山药,550
Shan Yu Rou 山萸肉,2365
She Gan 射干,80
Shen Qu 神曲,0
Sheng Bai Shao 生白芍,1245
Sheng Bai Zhu 生白术,1725
Sheng Ban Xia 生半夏,3030
Sheng Di 生地,510
Sheng fu zi 生附子,280
Sheng Gan Cao 生甘草,470
Sheng Jiang 生姜,0
Sheng Long Gu 生龙骨,1250
Sheng Ma 升麻,150
Sheng Mai Ya 生麦芽,575
Sheng Mu Li 生牡蛎,0
Sheng Shai Shen 生晒参,2230
Sheng shai shen 生晒参1.6,780
Sheng Shi Gao 生石膏,450
Sheng Tie Luo 生铁落,480
Shi Chang Pu 石菖蒲,335
Shi hu 石斛,240
Shi Jue Ming 石决明,1790
Shi yan fen 石燕粉,420
Shou wu teng 首乌藤,185
Shu Di Huang 熟地黄,2500
Shu Jiao 蜀椒,0
Su Geng 苏梗,230
Su mu 苏木,300
Su Sui Bu 骨碎补,90
Su Ye 苏叶,360
Su Zi 苏子,140
Suan zao ren 酸枣仁,460
Tan Xiang 檀香,265
Tao Ren 桃仁,1070
Tian Dong 天门冬,730
Tian Hua Fen 天花粉,525
Tian Ma 天麻,2640
Tian Qi 田七粉,0
Ting Li Zi 葶苈子,140
Tong Cao 通草,30
Tu bie chong 土鳖虫,95
Tu Si Zi 菟丝子,800
Wan Nian Qing 万年青,480
Wei Ling Xian 威灵仙,145
Wu Ling Zhi 五灵脂,135
Wu Mei 乌梅,770
Wu Wei Zi 五味子,0
Wu Yao 乌药,900
Wu Zhu Yu 吴茱萸,295
Xi Xin 细辛,520
Xia Ku Cao 夏枯草,680
Xian He Cao 仙鹤草,820
Xiang Fu 香附,740
Xiao hui xiang 小茴香,620
Xian ling pi 仙灵脾,310
Xie Bai 薤白,485
Xiong huang fen 雄黄粉,300
Xu Duan 续断,370
Xuan Fu Hua 旋复花,315
Xuan Shen 玄参,130
Yan Hu Suo 延胡索,105
Ye jiao teng 夜交藤,80
Yi Mi 薏米,715
Yi Mu Cao 益母草,820
Yi Zhi Ren 益智仁,600
Yin Chen 茵陈,800
Yu Jin 郁金,310
Yu sing cao 鱼腥草,150
Yu Zhu 玉竹,765
Yuan Zhi 远志,745
Ze Lan 泽兰,340
Ze Xie 泽泻,1285
Zhe Bei Mu 浙贝母,150
Zhen zhu mu 珍珠母,55
Zhi Gan Cao 炙甘草,650
Zhi Gui Ban 炙龟板,1295
Zhi he zi 炙诃子,90
Zhi Mu 知母,1253
Zhi nan xing,305
Zhi pi pa ye 炙枇杷叶,90
Zhi Qiao 枳壳,570
Zhi Shi 枳实,580
Zhu ling 猪苓,220
Zhu ru竹茹,670
Zhu Ye 竹叶,620
Zi Cao 紫草,95
Zi Shi Ying 紫石英,610
Zi Wan 紫菀,245